Artist ID,Artist Name,Track ID,Track Name,Popularity Score
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,6Yx181fZzA0YE2EkUsYruq,Big Plans,86
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,3BXXkwyhsHM0EPApHMhQC5,Speed It Up,80
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,6PRh0ilIMEP1xlUHqalnkD,Put a Date On It (feat. Lil Baby),79
1r4hJ1h58CWwUQe3MxPuau,Maluma,31UjYv5vLsDkzchJOtUMtW,HP,93
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,3jq1RpStaB1YGyN3rRZGca,Sauce!,81
7d3WFRME3vBY2cgoP38RDo,Lil Skies,0hCHNYL8ApQCGNwJrYN1FY,Bad Girls (feat. Gucci Mane),80
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,3QmolSZqjjLksTUvZJ6pPS,Cool,82
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,4qQwGRtGT7l6ckQtdPEFd4,Talk You Out Of It,78
4r63FhuTkUYltbVAg5TQnk,DaBaby,2gwkD6igEhQbDQegRCcdoB,Suge,78
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4zxpssj8DyrfZcEUSUiNxG,Ring Ring (with Rvssian feat. Clever),79
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0uUNN1nSoUx1A4fkDCWDQ7,So Am I,89
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,3jq1RpStaB1YGyN3rRZGca,Sauce!,81
7d3WFRME3vBY2cgoP38RDo,Lil Skies,0hCHNYL8ApQCGNwJrYN1FY,Bad Girls (feat. Gucci Mane),80
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,3QmolSZqjjLksTUvZJ6pPS,Cool,82
17lzZA2AlOHwCwFALHttmp,2 Chainz,6Z4rmc0uujCpl8yXe3yjgI,Whip (feat. Travis Scott),80
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,4qQwGRtGT7l6ckQtdPEFd4,Talk You Out Of It,78
4r63FhuTkUYltbVAg5TQnk,DaBaby,2gwkD6igEhQbDQegRCcdoB,Suge,78
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4zxpssj8DyrfZcEUSUiNxG,Ring Ring (with Rvssian feat. Clever),79
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0uUNN1nSoUx1A4fkDCWDQ7,So Am I,89
3Fl1V19tmjt57oBdxXKAjJ,Blueface,1JkrD47SDpAbyvqKtolcea,"Thotiana (feat. Cardi B, YG) [Remix]",82
