Artist Name,Track Name,Genre,Popularity Score
Solange,We Deal With the Freak'n (intermission),r&b,64
Solange,We Deal With the Freak'n (intermission),urban contemporary,64
Tiësto,Halfway There (feat. Lena Leon),big room,70
Tiësto,Halfway There (feat. Lena Leon),brostep,70
Tiësto,Halfway There (feat. Lena Leon),dance pop,70
Tiësto,Halfway There (feat. Lena Leon),edm,70
Tiësto,Halfway There (feat. Lena Leon),electro house,70
Tiësto,Halfway There (feat. Lena Leon),house,70
Tiësto,Halfway There (feat. Lena Leon),pop,70
Tiësto,Halfway There (feat. Lena Leon),trance,70
Tiësto,Halfway There (feat. Lena Leon),tropical house,70
Comethazine,BENJAMIN COUNTER,trap music,63
Comethazine,BENJAMIN COUNTER,underground hip hop,63
Comethazine,BENJAMIN COUNTER,vapor trap,63
SEVENTEEN,Home,k-pop,70
Our Last Night,When the Party's Over,metalcore,66
Our Last Night,When the Party's Over,pop punk,66
Our Last Night,When the Party's Over,post-screamo,66
Our Last Night,When the Party's Over,screamo,66
Kevin Gates,Therapy Shit 4,hip hop,61
Kevin Gates,Therapy Shit 4,pop rap,61
Kevin Gates,Therapy Shit 4,rap,61
Kevin Gates,Therapy Shit 4,southern hip hop,61
Kevin Gates,Therapy Shit 4,trap music,61
Drake,A Night Off (feat. Lloyd),canadian hip hop,65
Drake,A Night Off (feat. Lloyd),canadian pop,65
Drake,A Night Off (feat. Lloyd),hip hop,65
Drake,A Night Off (feat. Lloyd),pop rap,65
Drake,A Night Off (feat. Lloyd),rap,65
Foster The People,Worst Nites,indie pop,64
Foster The People,Worst Nites,indie rock,64
Foster The People,Worst Nites,modern rock,64
Foster The People,Worst Nites,pop,64
Foster The People,Worst Nites,rock,64
Shakewell,Pemex,dark trap,64
Shakewell,Pemex,emo rap,64
Shakewell,Pemex,underground hip hop,64
Shakewell,Pemex,vapor trap,64
Yung Gravy,Magic,meme rap,50
Yung Gravy,Magic,minnesota hip hop,50
Yung Gravy,Magic,vapor trap,50
Pouya,Superman Is Dead,dark trap,63
Pouya,Superman Is Dead,emo rap,63
Pouya,Superman Is Dead,miami hip hop,63
Pouya,Superman Is Dead,underground hip hop,63
Pouya,Superman Is Dead,vapor trap,63
Jake Owen,Mexico In Our Minds,contemporary country,52
Jake Owen,Mexico In Our Minds,country,52
Jake Owen,Mexico In Our Minds,country pop,52
Jake Owen,Mexico In Our Minds,country road,52
Jake Owen,Mexico In Our Minds,modern country rock,52
Drake,Congratulations,canadian hip hop,64
Drake,Congratulations,canadian pop,64
Drake,Congratulations,hip hop,64
Drake,Congratulations,pop rap,64
Drake,Congratulations,rap,64
Edwin Luna y La Trakalosa de Monterrey,Me Hiciste un Borracho,banda,67
Edwin Luna y La Trakalosa de Monterrey,Me Hiciste un Borracho,regional mexican,67
Sara Bareilles,Fire,acoustic pop,64
Sara Bareilles,Fire,dance pop,64
Sara Bareilles,Fire,folk-pop,64
Sara Bareilles,Fire,hollywood,64
Sara Bareilles,Fire,lilith,64
Sara Bareilles,Fire,neo mellow,64
Sara Bareilles,Fire,pop,64
Sara Bareilles,Fire,pop rock,64
Sara Bareilles,Fire,post-teen pop,64
Sara Bareilles,Fire,show tunes,64
Sara Bareilles,Fire,viral pop,64
Tierra Whack,CLONES,alternative r&b,62
Tierra Whack,CLONES,escape room,62
Tierra Whack,CLONES,underground hip hop,62
Quinn XCII,Right Where You Should Be (feat. Ashe & Louis Futon),electropop,61
Quinn XCII,Right Where You Should Be (feat. Ashe & Louis Futon),indie pop rap,61
Quinn XCII,Right Where You Should Be (feat. Ashe & Louis Futon),pop,61
Quinn XCII,Right Where You Should Be (feat. Ashe & Louis Futon),pop rap,61
Tiësto,Party Time,big room,57
Tiësto,Party Time,brostep,57
Tiësto,Party Time,dance pop,57
Tiësto,Party Time,edm,57
Tiësto,Party Time,electro house,57
Tiësto,Party Time,house,57
Tiësto,Party Time,pop,57
Tiësto,Party Time,trance,57
Tiësto,Party Time,tropical house,57
Michael Abels,I Got 5 On It (Tethered Mix from US),soundtrack,64
George Strait,Blue Water,contemporary country,61
George Strait,Blue Water,country,61
George Strait,Blue Water,country road,61
Cooliecut,Empty,trap music,64
Cooliecut,Empty,underground hip hop,64
Cooliecut,Empty,vapor trap,64
Yandel,Calenton,latin,65
Yandel,Calenton,latin hip hop,65
Yandel,Calenton,latin pop,65
Yandel,Calenton,pop,65
Yandel,Calenton,reggaeton,65
Yandel,Calenton,reggaeton flow,65
Yandel,Calenton,tropical,65
Quinn XCII,Good Thing Go,electropop,61
Quinn XCII,Good Thing Go,indie pop rap,61
Quinn XCII,Good Thing Go,pop,61
Quinn XCII,Good Thing Go,pop rap,61
Summer Walker,Riot,alternative r&b,63
Summer Walker,Riot,deep pop r&b,63
Summer Walker,Riot,indie r&b,63
Summer Walker,Riot,pop,63
Summer Walker,Riot,r&b,63
Summer Walker,Riot,urban contemporary,63
Welshly Arms,Learn To Let Go,modern alternative rock,70
Welshly Arms,Learn To Let Go,modern blues rock,70
Welshly Arms,Learn To Let Go,modern hard rock,70
Welshly Arms,Learn To Let Go,modern rock,70
Noname,Song 32,alternative r&b,62
Noname,Song 32,chicago rap,62
Noname,Song 32,escape room,62
Noname,Song 32,hip hop,62
Noname,Song 32,rap,62
Noname,Song 32,underground hip hop,62
Cage The Elephant,Ready To Let Go,garage rock,46
Cage The Elephant,Ready To Let Go,indie pop,46
Cage The Elephant,Ready To Let Go,indie rock,46
Cage The Elephant,Ready To Let Go,modern rock,46
Cage The Elephant,Ready To Let Go,punk blues,46
Cage The Elephant,Ready To Let Go,rock,46
Omar Apollo,Ashamed,alternative r&b,62
Omar Apollo,Ashamed,bedroom pop,62
Omar Apollo,Ashamed,bedroom soul,62
Omar Apollo,Ashamed,indie r&b,62
ROZES,Halfway There,indie poptimism,66
ROZES,Halfway There,pop edm,66
ROZES,Halfway There,vapor soul,66
Big Boi,Doin' It (feat. Sleepy Brown),atl hip hop,66
Big Boi,Doin' It (feat. Sleepy Brown),dirty south rap,66
Big Boi,Doin' It (feat. Sleepy Brown),hip hop,66
Big Boi,Doin' It (feat. Sleepy Brown),pop rap,66
Big Boi,Doin' It (feat. Sleepy Brown),southern hip hop,66
Matisse & Sadko,Don’t Tell Me,big room,67
Matisse & Sadko,Don’t Tell Me,deep big room,67
Matisse & Sadko,Don’t Tell Me,edm,67
Matisse & Sadko,Don’t Tell Me,electro house,67
Matisse & Sadko,Don’t Tell Me,pop edm,67
Matisse & Sadko,Don’t Tell Me,progressive electro house,67
Matisse & Sadko,Don’t Tell Me,progressive house,67
Dermot Kennedy,For Island Fires and Family,indie anthem-folk,69
Dermot Kennedy,For Island Fires and Family,indie folk,69
MARINA,Handmade Heaven,dance pop,68
MARINA,Handmade Heaven,electropop,68
MARINA,Handmade Heaven,indie poptimism,68
MARINA,Handmade Heaven,metropopolis,68
MARINA,Handmade Heaven,pop,68
MARINA,Handmade Heaven,post-teen pop,68
MARINA,Handmade Heaven,tropical house,68
MARINA,Handmade Heaven,uk alternative pop,68
Cage The Elephant,Night Running,garage rock,46
Cage The Elephant,Night Running,indie pop,46
Cage The Elephant,Night Running,indie rock,46
Cage The Elephant,Night Running,modern rock,46
Cage The Elephant,Night Running,punk blues,46
Cage The Elephant,Night Running,rock,46
Flyboy Tarantino,Now or Never,dark trap,64
Flyboy Tarantino,Now or Never,underground hip hop,64
Flyboy Tarantino,Now or Never,vapor trap,64
Ra Ra Riot,Bad To Worse,alternative dance,63
Ra Ra Riot,Bad To Worse,chamber pop,63
Ra Ra Riot,Bad To Worse,folk-pop,63
Ra Ra Riot,Bad To Worse,indie folk,63
Ra Ra Riot,Bad To Worse,indie pop,63
Ra Ra Riot,Bad To Worse,indie poptimism,63
Ra Ra Riot,Bad To Worse,indie psych-rock,63
Ra Ra Riot,Bad To Worse,indie rock,63
Ra Ra Riot,Bad To Worse,indietronica,63
Ra Ra Riot,Bad To Worse,modern rock,63
Ra Ra Riot,Bad To Worse,piano rock,63
Ra Ra Riot,Bad To Worse,shimmer pop,63
Ra Ra Riot,Bad To Worse,stomp and holler,63
Berner,Ayy (feat. YG & Logic),cali rap,62
Berner,Ayy (feat. YG & Logic),gangster rap,62
Berner,Ayy (feat. YG & Logic),hip hop,62
Berner,Ayy (feat. YG & Logic),hyphy,62
Berner,Ayy (feat. YG & Logic),rap,62
Berner,Ayy (feat. YG & Logic),southern hip hop,62
Berner,Ayy (feat. YG & Logic),trap music,62
Berner,Ayy (feat. YG & Logic),west coast trap,62
Quinn XCII,Sad Still,electropop,61
Quinn XCII,Sad Still,indie pop rap,61
Quinn XCII,Sad Still,pop,61
Quinn XCII,Sad Still,pop rap,61
Jake Owen,Damn,contemporary country,51
Jake Owen,Damn,country,51
Jake Owen,Damn,country pop,51
Jake Owen,Damn,country road,51
Jake Owen,Damn,modern country rock,51
The National,You Had Your Soul With You,chamber pop,67
The National,You Had Your Soul With You,folk-pop,67
The National,You Had Your Soul With You,indie folk,67
The National,You Had Your Soul With You,indie pop,67
The National,You Had Your Soul With You,indie rock,67
The National,You Had Your Soul With You,modern rock,67
The National,You Had Your Soul With You,stomp and holler,67
Weezer,No Scrubs,alternative rock,63
Weezer,No Scrubs,modern rock,63
Weezer,No Scrubs,permanent wave,63
Weezer,No Scrubs,pop punk,63
Weezer,No Scrubs,pop rock,63
Weezer,No Scrubs,post-grunge,63
Weezer,No Scrubs,rock,63
Atlas Genius,Can't Be Alone Tonight,indie pop,64
Atlas Genius,Can't Be Alone Tonight,indie poptimism,64
Atlas Genius,Can't Be Alone Tonight,indie rock,64
Atlas Genius,Can't Be Alone Tonight,indietronica,64
Atlas Genius,Can't Be Alone Tonight,modern rock,64
Atlas Genius,Can't Be Alone Tonight,shimmer pop,64
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),contemporary country,61
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),country,61
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),country pop,61
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),country road,61
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),modern country rock,61
Randy Houser,What Whiskey Does (feat. Hillary Lindsey),redneck,61
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",alternative dance,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",alternative rock,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",canadian indie,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",chamber pop,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",dance-punk,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",garage rock,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",indie folk,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",indie pop,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",indie rock,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",indietronica,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",modern rock,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",new rave,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",permanent wave,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",quebec indie,67
Arcade Fire,"Baby Mine - From ""Dumbo""/Soundtrack Version",rock,67
Cage The Elephant,House Of Glass,garage rock,44
Cage The Elephant,House Of Glass,indie pop,44
Cage The Elephant,House Of Glass,indie rock,44
Cage The Elephant,House Of Glass,modern rock,44
Cage The Elephant,House Of Glass,punk blues,44
Cage The Elephant,House Of Glass,rock,44
Alex Rose,Me Odias?,reggaeton flow,71
Alex Rose,Me Odias?,trap latino,71
Alex Rose,Me Odias?,tropical,71
XXXTENTACION,Hi Wendy!,emo rap,64
XXXTENTACION,Hi Wendy!,miami hip hop,64
Cimorelli,Never Enough,pop,66
Cimorelli,Never Enough,post-teen pop,66
Cimorelli,Never Enough,teen pop,66
Cimorelli,Never Enough,viral pop,66
Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,dance pop,62
Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,electropop,62
Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,indie cafe pop,62
Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,indie poptimism,62
Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,pop,62
Gary Clark Jr.,This Land - Single Version,blues-rock,64
Gary Clark Jr.,This Land - Single Version,electric blues,64
Gary Clark Jr.,This Land - Single Version,funk,64
Gary Clark Jr.,This Land - Single Version,garage rock,64
Gary Clark Jr.,This Land - Single Version,modern blues,64
Gary Clark Jr.,This Land - Single Version,modern blues rock,64
Gary Clark Jr.,This Land - Single Version,soul blues,64
Gary Clark Jr.,This Land - Single Version,texas blues,64
The Lumineers,Nightshade - from For The Throne (Music Inspired by the HBO Series Game of Thrones),folk-pop,0
The Lumineers,Nightshade - from For The Throne (Music Inspired by the HBO Series Game of Thrones),indie folk,0
The Lumineers,Nightshade - from For The Throne (Music Inspired by the HBO Series Game of Thrones),indie pop,0
The Lumineers,Nightshade - from For The Throne (Music Inspired by the HBO Series Game of Thrones),modern rock,0
The Lumineers,Nightshade - from For The Throne (Music Inspired by the HBO Series Game of Thrones),stomp and holler,0
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,dark trap,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,drill,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,hip hop,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,miami hip hop,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,pop rap,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,rap,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,trap music,52
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,underground hip hop,52
Drake,Sooner Than Later,canadian hip hop,64
Drake,Sooner Than Later,canadian pop,64
Drake,Sooner Than Later,hip hop,64
Drake,Sooner Than Later,pop rap,64
Drake,Sooner Than Later,rap,64
Flume,Voices,australian dance,66
Flume,Voices,australian electropop,66
Flume,Voices,australian indie,66
Flume,Voices,downtempo,66
Flume,Voices,edm,66
Flume,Voices,pop,66
Pia Mia,Bitter Love,dance pop,68
Pia Mia,Bitter Love,deep pop r&b,68
Pia Mia,Bitter Love,pop,68
Pia Mia,Bitter Love,pop rap,68
Pia Mia,Bitter Love,post-teen pop,68
Pia Mia,Bitter Love,r&b,68
Pia Mia,Bitter Love,urban contemporary,68
Drake,Bria's Interlude (feat. Omarion),canadian hip hop,64
Drake,Bria's Interlude (feat. Omarion),canadian pop,64
Drake,Bria's Interlude (feat. Omarion),hip hop,64
Drake,Bria's Interlude (feat. Omarion),pop rap,64
Drake,Bria's Interlude (feat. Omarion),rap,64
SOPHIE,Is It Cold In The Water? - Flume & Eprom Remix,art pop,65
SOPHIE,Is It Cold In The Water? - Flume & Eprom Remix,electropop,65
SOPHIE,Is It Cold In The Water? - Flume & Eprom Remix,escape room,65
SOPHIE,Is It Cold In The Water? - Flume & Eprom Remix,hyperpop,65
SOPHIE,Is It Cold In The Water? - Flume & Eprom Remix,indietronica,65
SEVENTEEN,Good to Me,k-pop,69
Cautious Clay,SIDEWINDER,alternative r&b,61
Cautious Clay,SIDEWINDER,electropop,61
Cautious Clay,SIDEWINDER,indie r&b,61
Cautious Clay,SIDEWINDER,vapor soul,61
Bibio,Curls,chamber pop,65
Bibio,Curls,chillwave,65
Bibio,Curls,downtempo,65
Bibio,Curls,electronic,65
Bibio,Curls,freak folk,65
Bibio,Curls,indie pop,65
Bibio,Curls,indietronica,65
Two Door Cinema Club,Talk - Single Edit,alternative dance,63
Two Door Cinema Club,Talk - Single Edit,indie pop,63
