Artist ID,Artist Name,Genres
1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,"['dance pop', 'pop', 'post-teen pop', 'teen pop']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
53KwLdlmrlCelAZMaLVZqU,James Blake,"['indie r&b', 'indietronica', 'uk alternative pop']"
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,['colombian pop']
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']"
4EzkuveR9pLvDVFNx6foYD,James Bay,"['neo mellow', 'pop', 'pop rock']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
4r63FhuTkUYltbVAg5TQnk,DaBaby,"['nc hip hop', 'rap', 'southern hip hop', 'trap music', 'vapor trap']"
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"['reggaeton', 'trap latino']"
1qto4hHid1P71emI6Fd8xi,Aventura,"['bachata', 'latin', 'latin hip hop', 'latin pop', 'tropical']"
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,['k-pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
7rkW85dBwwrJtlHRDkJDAC,NAV,"['canadian hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show', 'viral pop']"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['dance pop', 'edm', 'pop']"
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
56oDRnqbIiwx4mymNEv7dS,Lizzo,"['dance pop', 'electropop', 'escape room', 'minnesota hip hop', 'pop', 'r&b', 'trap queen']"
